DATE,COMPOUT
2001-01-03,1587.918197372
2001-01-10,1514.381261719
2001-01-17,1512.427726563
2001-01-24,1508.970480469
2001-01-31,1501.212660156
2001-02-07,1503.337761719
2001-02-14,1514.814738281
2001-02-21,1520.432683594
2001-02-28,1521.886519531
2001-03-07,1512.984242188
2001-03-14,1517.022744141
2001-03-21,1521.54440625
2001-03-28,1527.351744141
2001-04-04,1539.936453125
2001-04-11,1550.790699219
2001-04-18,1546.540677734
2001-04-25,1553.834158203
2001-05-02,1558.715023438
2001-05-09,1553.900042969
2001-05-16,1543.172017578
2001-05-23,1527.816488281
2001-05-30,1517.248525391
2001-06-06,1511.871958984
2001-06-13,1522.197550781
2001-06-20,1521.498076172
2001-06-27,1525.608292969
2001-07-04,1525.473369141
2001-07-11,1515.848730469
2001-07-18,1513.927689453
2001-07-25,1501.775664063
2001-08-01,1489.403822266
2001-08-08,1473.919369141
2001-08-15,1452.668125
2001-08-22,1433.082226563
2001-08-29,1431.289513672
2001-09-05,1407.5210625
2001-09-12,1356.260630859
2001-09-19,1422.892201172
2001-09-26,1454.120869141
2001-10-03,1450.171148438
2001-10-10,1457.893484375
2001-10-17,1453.965056641
2001-10-24,1438.575263672
2001-10-31,1453.585763672
2001-11-07,1451.356529297
2001-11-14,1444.287828125
2001-11-21,1440.501363281
2001-11-28,1439.804859375
2001-12-05,1437.357808594
2001-12-12,1435.582724609
2001-12-19,1440.390707031
2001-12-26,1452.944792969
2002-01-02,1444.551791016
2002-01-09,1421.482212891
2002-01-16,1426.485046875
2002-01-23,1426.348341797
2002-01-30,1421.936236328
2002-02-06,1415.506564453
2002-02-13,1418.759732422
2002-02-20,1418.190615234
2002-02-27,1420.398255859
2002-03-06,1420.120234375
2002-03-13,1421.287775391
2002-03-20,1423.771402344
2002-03-27,1407.476955078
2002-04-03,1410.737238281
2002-04-10,1407.886011719
2002-04-17,1408.405919922
2002-04-24,1405.278195313
2002-05-01,1398.871298828
2002-05-08,1399.769695313
2002-05-15,1402.632654297
2002-05-22,1398.067013672
2002-05-29,1394.261359375
2002-06-05,1392.540234375
2002-06-12,1401.598193359
2002-06-19,1391.536496094
2002-06-26,1388.080810547
2002-07-03,1388.702964844
2002-07-10,1383.152515625
2002-07-17,1376.105142578
2002-07-24,1378.2695625
2002-07-31,1374.103560547
2002-08-07,1373.774353516
2002-08-14,1374.020146484
2002-08-21,1376.427685547
2002-08-28,1369.208519531
2002-09-04,1366.72790625
2002-09-11,1369.076667969
2002-09-18,1373.728451172
2002-09-25,1365.433871094
2002-10-02,1355.385044922
2002-10-09,1358.179121094
2002-10-16,1358.977759766
2002-10-23,1359.032333984
2002-10-30,1356.932144531
2002-11-06,1357.340730469
2002-11-13,1360.268220703
2002-11-20,1361.150384766
2002-11-27,1359.984623047
2002-12-04,1363.40978125
2002-12-11,1357.881853516
2002-12-18,1358.727701172
2002-12-25,1350.242960938
2003-01-01,1354.141847656
2003-01-08,1367.823484375
2003-01-15,1364.686927734
2003-01-22,1368.875693359
2003-01-29,1370.138763672
2003-02-05,1376.321212891
2003-02-12,1360.388130859
2003-02-19,1352.321638672
2003-02-26,1348.581637271
2003-03-05,1341.357606228
2003-03-12,1346.941935171
2003-03-19,1342.140602684
2003-03-26,1361.626453234
2003-04-02,1361.905496855
2003-04-09,1362.138046226
2003-04-16,1368.021827453
2003-04-23,1361.3386467
2003-04-30,1357.820173582
2003-05-07,1362.473073869
2003-05-14,1354.50574025
2003-05-21,1348.38597889
2003-05-28,1350.31446006
2003-06-04,1365.844719462
2003-06-11,1365.481303015
2003-06-18,1356.745838929
2003-06-25,1360.050639555
2003-07-02,1370.996445814
2003-07-09,1381.021083757
2003-07-16,1366.054844576
2003-07-23,1355.27675997
2003-07-30,1343.668930766
2003-08-06,1337.990991162
2003-08-13,1337.844448542
2003-08-20,1329.766243793
2003-08-27,1320.980776302
2003-09-03,1321.587152507
2003-09-10,1323.401777556
2003-09-17,1324.300912382
2003-09-24,1329.71789967
2003-10-01,1322.788179353
2003-10-08,1331.167791518
2003-10-15,1332.850671199
2003-10-22,1330.15704694
2003-10-29,1330.619267097
2003-11-05,1324.788119796
2003-11-12,1319.721373993
2003-11-19,1303.382218788
2003-11-26,1301.006686014
2003-12-03,1286.445903916
2003-12-10,1286.447597454
2003-12-17,1284.356295295
2003-12-24,1273.503539617
2003-12-31,1272.203338158
2004-01-07,1298.285552825
2004-01-14,1304.627999263
2004-01-21,1303.657879283
2004-01-28,1312.137293168
2004-02-04,1314.578065956
2004-02-11,1317.082361096
2004-02-18,1318.905455937
2004-02-25,1315.630609129
2004-03-03,1320.929359162
2004-03-10,1320.51940167
2004-03-17,1314.51651026
2004-03-24,1313.929361937
2004-03-31,1314.390040131
2004-04-07,1311.499663893
2004-04-14,1308.11541738
2004-04-21,1307.884123255
2004-04-28,1316.878187103
2004-05-05,1314.271061128
2004-05-12,1315.503823131
2004-05-19,1317.097657927
2004-05-26,1319.764857351
2004-06-02,1318.672751546
2004-06-09,1326.279923677
2004-06-16,1316.737162813
2004-06-23,1322.332086647
2004-06-30,1320.640295027
2004-07-07,1327.595914858
2004-07-14,1332.165027489
2004-07-21,1333.510702236
